original_id,artists,track name,emotion_type,emotion_score,culture
112391,Sertab Erener,Benim Annem Güzel Annem,LOVE,0.8601492643356323,Turkish
112392,Hidra,Kadınlar,ANGER,0.6553482413291931,Turkish
112393,Ferhat Göçer,Adını Tek Geçerim,ANGER,0.4153174161911011,Turkish
112394,Barış Kocatürk,Çirkin Olunca,SADNESS,0.9441330432891846,Turkish
112395,Hidra,Ölüme İnat 2,FEAR,0.7226046323776245,Turkish
112396,Stabil,Ortaya Karışık,SADNESS,0.7859843373298645,Turkish
112398,No.1,Das Ist No.1,SADNESS,0.6781842112541199,Turkish
112403,Can Bonomo,İyi Ki Doğdun,SADNESS,0.9155448079109192,Turkish
112405,Sagopa Kajmer,Bir Dizi İz (2021 Tek Edit),FEAR,0.9941709637641907,Turkish
112406,Çağrı Sinci,Kusursuz Gün,SADNESS,0.9982197880744934,Turkish
112408,Suzan Hacigarip,Şimdi Biraz Uyu,SADNESS,0.925359308719635,Turkish
112409,Yedinci Ev,O Olmasa,SADNESS,0.9985383749008179,Turkish
112410,Kezzo,Doğar Ya Güneş 2,SADNESS,0.9723482728004456,Turkish
112412,Çilekeş,Yetmiyor,LOVE,0.9630047082901001,Turkish
112414,İlhan İrem,Yazık Oldu Yarınlara,SADNESS,0.993062436580658,Turkish
112416,Teoman,İstasyon İnsanları,FEAR,0.4998578727245331,Turkish
112417,Sibel Can,Takiptesin,FEAR,0.9950574636459351,Turkish
112418,UZI,Makina,SADNESS,0.9255281686782837,Turkish
112421,No.1,Kırmızı Bandana,FEAR,0.5056222677230835,Turkish
112422,Joker,Son Kale,FEAR,0.9558586478233337,Turkish
112423,Genius Türkiye,Temmuz 2021 Tekli Yayınlama Takvimi,SADNESS,0.48432987928390503,Turkish
112424,Allame,Şehir,SADNESS,0.8777681589126587,Turkish
112425,Ceno,Yakaza Cypher Vol.3,JOY,0.9930428266525269,Turkish
112426,Hidra,Ölüm Kalım Günü,JOY,0.4772072732448578,Turkish
112427,Emel Sayın,Bak Yeşil Yeşil,LOVE,0.920405924320221,Turkish
112428,Teoman,Koma Hali,FEAR,0.9047586917877197,Turkish
112431,Stap,Nasıl Bilirdiniz,ANGER,0.6629717946052551,Turkish
112434,Rota,Bir Yalan Söyle Bana,ANGER,0.9980442523956299,Turkish
112435,Deniz Tekin,Hep Oturup Bekledim,FEAR,0.9776809215545654,Turkish
112436,Contra,YERDEN YÜKSEK,ANGER,0.9723567366600037,Turkish
